,hard_latency,mean_growth,A,Ti,kg,max_growth,appiration,depth,stage,side,uniq-condition
52,,,,,,,80.9073,26.3262681754742,1,R,LL
53,0.0015,0.0418023532813438,6.442548464184239,52.75410581562403,0.022026848101823,0.0522054170114015,29.9985,26.704355605839183,1,R,LL
54,0.0021999999999984,0.0703024980726004,11.42879328222729,69.68965676721997,0.0197176508209465,0.0829012477236346,23.9978,29.65567325715216,1,R,LL
55,0.0015,0.080813924610467,11.053775063649583,56.36729100456794,0.0267536635818576,0.1087926116660437,29.9985,31.93160755525321,1,R,LL
56,-2.9080000000000013,0.0588411871194873,9.379617214917394,63.78804738333172,0.0211560058280891,0.0730002438991133,50.908,32.67236347301561,1,R,LL
57,-2.9080000000000013,0.0447052207826511,4.540535199157545,32.401351948344264,0.0440809959762676,0.0736315534867214,50.908,34.20795647817084,1,R,LL
58,-2.9080000000000013,0.0412679247860338,4.449476044089907,37.27626253150409,0.0364285559202997,0.0596288380370215,50.908,35.48545574430271,1,R,LL
59,-2.9080000000000013,0.0641963719634605,4.526036792045112,23.18184116865994,0.126064664995387,0.20990219114602,68.908,37.771776303045314,1,R,LL
60,-2.909700000000001,0.0430435911122573,6.48613037258613,52.32955274674913,0.0266137271952032,0.0635033875006202,110.9097,42.95434363923386,2,R,LL
61,-2.9054999999999893,0.0451124209529643,1.9895462733804947,18.036405247424,0.0876432312473311,0.0641472353195991,128.9055,43.69833408218323,2,R,LL
62,-2.9054999999999893,0.003724095714249,0.1473854822305241,14.71178209180109,0.0803040027013924,0.0043540901606569,128.9055,44.47990176106663,2,R,LL
63,-2.9069999999999965,0.0785802558206864,4.616091654765425,25.48817128036559,0.0795075968885191,0.1350170356307762,122.907,46.31761913242978,2,R,LL
64,-2.9054999999999893,0.0404622690247561,4.7290009421135535,38.12736123745582,0.0356564732500497,0.0620316458089703,128.9055,47.02552338214207,2,R,LL
65,,,,,,,147.9224,48.214449114286055,2,R,LL
66,-2.9065999999999974,0.0500872309070469,1.8516581460321688,13.920477174908942,0.0934056396323344,0.0636267040818954,134.9066,50.65833003697073,2,R,LL
67,,,,,,,140.906,52.05158415192036,2,R,LL
68,,,,,,,163.9762,55.2692178248838,2,R,LL
69,,,,,,,147.9224,55.97028574227839,2,R,LL
70,,,,,,,163.9762,58.49458508835056,2,R,LL
71,,,,,,,147.9224,62.598909283067925,2,R,LL
72,0.0,0.0084455702030681,1.3205735833886658,2.131701818679811,0.0881300034086695,0.0428146019250025,0.0,1.5369455419731533,0,L,LL
