,0,6,12,18,24,30,44,45,51,57,63,69,75,81,92,93,99,105,111,117,123,129,135,141,151,164,165,label,condition,side,condition-side,uniq-condition
p69.rsml,6.0,8.0,9.0,9.0,10.0,13.0,13.0,13.0,14.0,15.0,17.0,18.0,18.0,21.0,21.0,23.0,25.0,25.0,25.0,26.0,27.0,27.0,27.0,32.0,34.0,34.0,35.0,3,HH,L,HH-L,homo-high
p70.rsml,7.0,7.0,7.0,7.0,8.0,9.0,10.0,12.0,12.0,13.0,13.0,15.0,17.0,19.0,22.0,23.0,25.0,25.0,26.0,29.0,32.0,32.0,33.0,34.0,36.0,36.0,36.0,2,HL,L,HL-L,hetero-high
p71.rsml,17.0,17.0,17.0,17.0,19.0,21.0,22.0,24.0,25.0,25.0,25.0,27.0,29.0,29.0,29.0,30.0,31.0,32.0,34.0,34.0,36.0,37.0,39.0,40.0,41.0,41.0,41.0,1,LH,L,LH-L,hetero-low
p04.rsml,10.0,12.0,13.0,16.0,19.0,19.0,20.0,22.0,23.0,25.0,25.0,27.0,29.0,31.0,31.0,33.0,34.0,35.0,35.0,37.0,38.0,39.0,40.0,42.0,44.0,46.0,46.0,3,HH,R,HH-R,homo-high
p05.rsml,9.0,11.0,11.0,11.0,12.0,14.0,14.0,14.0,17.0,18.0,18.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0,22.0,25.0,26.0,27.0,30.0,32.0,32.0,0,LL,R,LL-R,homo-low
p06.rsml,17.0,18.0,19.0,19.0,21.0,23.0,23.0,24.0,24.0,24.0,24.0,26.0,26.0,27.0,27.0,28.0,29.0,29.0,29.0,29.0,30.0,31.0,34.0,34.0,37.0,38.0,38.0,2,HL,R,HL-R,hetero-low
p07.rsml,6.0,6.0,6.0,7.0,7.0,9.0,9.0,11.0,14.0,14.0,15.0,15.0,16.0,17.0,17.0,19.0,20.0,21.0,21.0,23.0,24.0,25.0,26.0,30.0,31.0,31.0,31.0,1,LH,R,LH-R,hetero-high
p10.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,6.0,7.0,7.0,8.0,8.0,2,HL,R,HL-R,hetero-low
p11.rsml,10.0,12.0,12.0,13.0,13.0,16.0,18.0,19.0,20.0,22.0,24.0,26.0,27.0,29.0,29.0,33.0,33.0,35.0,36.0,37.0,38.0,40.0,40.0,42.0,45.0,48.0,48.0,1,LH,R,LH-R,hetero-high
p12.rsml,1.0,2.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,9.0,9.0,9.0,10.0,11.0,13.0,14.0,14.0,14.0,16.0,18.0,18.0,19.0,23.0,23.0,3,HH,R,HH-R,homo-high
p13.rsml,4.0,4.0,4.0,5.0,6.0,8.0,9.0,11.0,12.0,13.0,15.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,18.0,0,LL,R,LL-R,homo-low
p14.rsml,8.0,9.0,11.0,12.0,13.0,18.0,18.0,20.0,22.0,22.0,22.0,24.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,28.0,28.0,28.0,28.0,28.0,29.0,33.0,33.0,2,HL,R,HL-R,hetero-low
p15.rsml,5.0,7.0,7.0,10.0,11.0,12.0,14.0,17.0,19.0,19.0,23.0,23.0,24.0,24.0,25.0,28.0,30.0,35.0,37.0,37.0,39.0,41.0,41.0,44.0,46.0,46.0,46.0,1,LH,R,LH-R,hetero-high
p17.rsml,7.0,9.0,11.0,12.0,12.0,13.0,13.0,14.0,17.0,19.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,22.0,24.0,26.0,28.0,31.0,34.0,0,LL,R,LL-R,homo-low
p18.rsml,9.0,10.0,10.0,12.0,12.0,16.0,18.0,19.0,20.0,22.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,25.0,25.0,25.0,26.0,26.0,28.0,29.0,32.0,34.0,34.0,2,HL,R,HL-R,hetero-low
p19.rsml,3.0,3.0,3.0,4.0,4.0,10.0,10.0,13.0,14.0,16.0,18.0,18.0,19.0,20.0,20.0,20.0,22.0,23.0,24.0,24.0,26.0,28.0,30.0,33.0,34.0,36.0,36.0,1,LH,R,LH-R,hetero-high
p20.rsml,10.0,12.0,12.0,13.0,15.0,15.0,15.0,15.0,16.0,17.0,18.0,18.0,21.0,23.0,23.0,24.0,28.0,30.0,32.0,32.0,33.0,34.0,37.0,37.0,40.0,41.0,42.0,3,HH,R,HH-R,homo-high
p21.rsml,8.0,10.0,12.0,12.0,13.0,17.0,17.0,17.0,19.0,20.0,20.0,20.0,22.0,22.0,22.0,23.0,24.0,25.0,27.0,28.0,29.0,30.0,31.0,32.0,34.0,38.0,38.0,0,LL,R,LL-R,homo-low
p22.rsml,3.0,4.0,4.0,4.0,5.0,6.0,6.0,8.0,9.0,11.0,12.0,12.0,13.0,13.0,13.0,14.0,14.0,16.0,16.0,17.0,17.0,18.0,19.0,21.0,22.0,22.0,23.0,2,HL,R,HL-R,hetero-low
p23.rsml,11.0,11.0,13.0,14.0,17.0,20.0,20.0,20.0,21.0,21.0,22.0,22.0,23.0,23.0,23.0,24.0,24.0,26.0,27.0,28.0,30.0,31.0,32.0,34.0,36.0,38.0,38.0,1,LH,R,LH-R,hetero-high
p24.rsml,4.0,4.0,4.0,4.0,4.0,8.0,9.0,11.0,14.0,16.0,17.0,18.0,21.0,21.0,21.0,24.0,24.0,25.0,26.0,26.0,27.0,29.0,30.0,33.0,35.0,38.0,38.0,3,HH,R,HH-R,homo-high
p25.rsml,19.0,19.0,19.0,20.0,20.0,24.0,25.0,26.0,27.0,29.0,30.0,30.0,30.0,31.0,31.0,31.0,31.0,31.0,32.0,34.0,34.0,34.0,37.0,38.0,39.0,42.0,42.0,0,LL,R,LL-R,homo-low
p26.rsml,5.0,5.0,6.0,7.0,9.0,11.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,2,HL,R,HL-R,hetero-low
p27.rsml,12.0,12.0,12.0,17.0,18.0,23.0,24.0,24.0,26.0,27.0,29.0,31.0,34.0,37.0,37.0,43.0,48.0,50.0,51.0,51.0,53.0,55.0,55.0,58.0,60.0,60.0,60.0,1,LH,R,LH-R,hetero-high
p29.rsml,11.0,13.0,14.0,14.0,16.0,17.0,17.0,20.0,21.0,23.0,24.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,29.0,29.0,29.0,33.0,34.0,34.0,35.0,0,LL,R,LL-R,homo-low
p32.rsml,7.0,10.0,13.0,14.0,17.0,20.0,20.0,22.0,23.0,24.0,24.0,24.0,26.0,27.0,27.0,29.0,29.0,29.0,31.0,33.0,35.0,37.0,37.0,39.0,40.0,43.0,43.0,3,HH,R,HH-R,homo-high
p33.rsml,16.0,17.0,18.0,18.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,23.0,26.0,26.0,27.0,28.0,28.0,28.0,28.0,28.0,30.0,30.0,33.0,34.0,35.0,35.0,0,LL,R,LL-R,homo-low
