,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180,186,side,alpha,label,condition,condition-side,uniq-condition
p15.rsml,0.6428229999999897,1.0633103749999822,1.43464987499998,1.5329456249999835,1.5469878749999837,1.5688313749999812,1.5859941249999818,1.5859941249999818,1.6554252499999855,1.6554252499999855,1.6554252499999855,1.6757084999999845,1.6959917499999828,1.6998923749999824,1.7076936249999832,1.7256364999999825,1.771663874999985,1.8067694999999853,1.8176912499999835,1.926128624999988,2.0610902499999937,2.7678834999999937,2.8302935,3.012062624999994,3.2421994999999857,3.597936499999977,3.685310499999983,3.768003749999976,3.768003749999975,3.936510749999974,4.296928499999983,4.835994874999983,L,5,1,LH,LH-L,hetero-low
p15.rsml,1.7037930000000012,4.7852867499999805,5.623921124999995,6.121640874999993,6.588155624999992,7.081194624999986,7.845717124999973,8.451094124999978,8.719457124999975,8.719457124999975,8.719457124999975,8.719457124999975,9.502702624999982,9.50270262499998,9.502702624999994,9.341996874999996,11.030187374999986,13.817573999999995,14.02976799999996,14.657768624999978,15.349739499999991,16.457517000000006,20.47126012500001,22.12278475000002,26.65609112500002,30.38196812500003,37.63166975,43.43033887499998,48.14307400000002,57.15897862500007,66.67806387500002,80.09933437500007,R,5,1,LH,LH-R,hetero-high
p16.rsml,0.1451032500000018,0.837854250000003,2.2888867500000067,3.8366547500000183,4.002041250000019,4.1799097500000215,4.582454250000027,4.7915277500000295,4.9381912500000285,5.328253750000035,6.617800375000039,11.563012750000036,13.77856775000005,15.969938875000045,21.923852875000023,22.98638312500004,23.74466462500006,26.11312412500005,27.43621612500005,28.728883250000035,29.77113025000004,32.25270787500003,35.265550625000046,41.631370625000045,46.329283375000045,48.96220525000005,59.05780287500002,67.010397125,76.09105212499999,84.37988024999999,102.2993515,113.93491587500002,L,5,3,HH,HH-L,homo-high
p16.rsml,0.1248200000000014,0.1388622500000025,0.9455114999999896,1.471315750000004,2.170307750000012,2.444911750000017,2.730437500000006,2.8365345000000097,2.980077500000011,3.106457750000008,3.106457750000008,3.106457750000008,3.106457750000008,3.106457750000008,3.210994500000009,3.777365250000006,5.094216250000006,5.094216250000006,5.186271000000012,6.010083000000016,6.663827749999999,6.696592999999998,7.101477874999986,7.227858124999985,7.676429999999987,8.224857875000001,12.777667375000014,16.22425962499996,19.893967624999977,23.055034124999978,26.27070937499999,32.504688249999994,R,5,3,HH,HH-R,homo-high
p17.rsml,0.2987878750000003,0.8199113749999984,1.3722398749999891,1.759181874999996,2.533065875000005,3.5971563749999973,3.5971563749999973,3.5971563749999973,3.5971563749999973,3.625240874999992,4.0886351249999935,5.13400262499998,5.183930624999976,5.123080874999989,5.111378999999988,5.217475999999985,5.368040124999983,7.161547499999986,9.233559499999972,12.396966374999977,14.823935249999952,16.379504499999996,17.743163000000017,18.024788125,21.48308225,23.4880035,25.904830750000016,27.79975437500004,29.025330749999995,31.964841750000016,33.02659187500001,33.382328875,L,5,0,LL,LL-L,homo-low
p17.rsml,2.081373499999991,2.081373499999991,2.081373499999991,2.081373499999991,2.146903999999992,2.146903999999992,2.146903999999992,2.312290499999996,2.415267,3.3319138750000024,3.4551736250000014,3.926369125000009,4.357778250000014,4.909326625000014,4.980318000000013,5.142583999999994,5.27832575000002,6.823753375000006,6.963395750000021,7.286367500000006,10.014464625000002,10.683811874999996,11.900806874999972,13.374463,15.834197125,17.445935375000012,21.50492574999999,22.94893712499995,24.66755249999996,26.35496287499994,31.010748874999937,33.52353149999995,R,5,0,LL,LL-R,homo-low
p18.rsml,0.500840249999996,0.5819732499999946,0.9774966249999988,1.8840018749999965,5.50768249999999,9.455895124999982,14.330896250000016,21.34265975000002,26.159931625000027,33.93855800000005,38.90171325000004,45.0693815,59.61871275000003,68.95613809250004,85.06561012500008,99.079775625,116.78003175000008,134.65893649999992,165.4715336249999,179.04960925,203.1819960000002,228.9314065029,258.78272330525,280.37328743315027,318.55398981105026,344.37283143895013,369.5231149913,401.5354189222003,440.99330949690017,471.9623628750001,500.6413181249999,535.364681875,L,5,2,HL,HL-L,hetero-high
p18.rsml,0.4618339999999943,0.5694912499999951,1.310609999999997,3.2187957500000097,3.8506970000000154,5.228397750000007,6.585815250000006,7.492320500000009,8.398045625000009,10.032407500000012,11.855559624999984,15.806112624999985,18.252584624999983,18.740942874999988,19.820635874999976,20.731041749999985,20.863662999999992,21.487763000000005,21.866123625,21.880165875,22.14462824999999,23.481762499999988,23.730622375000003,23.857086566449997,24.509355007899977,25.17410544935,25.51356841774997,25.968366314350035,26.435571787025008,26.57513692965001,27.81934690232497,28.420733875,R,5,2,HL,HL-R,hetero-low
p21.rsml,3.5604904999999896,11.447554249999984,12.50462362499999,15.19293437500001,16.92325162500001,20.848060499999995,28.123506249999977,31.69725887500001,35.83114124999996,39.71538362499997,47.86690974999996,50.87897237499998,59.23177075000003,61.82100562499994,68.09945162499999,69.78218125000001,76.97571387499994,79.65310287499999,83.98825749999992,85.55708887499995,87.33109312500002,90.40790612499995,93.28890774999992,93.93641149999996,94.63540349999998,95.21425625,94.45597475,94.87334162499998,95.15652699999998,95.75410275,96.29160887499997,98.16858962499994,L,5,1,LH,LH-L,hetero-low
p21.rsml,0.1700672500000006,0.2262362500000012,1.539966749999989,2.0205237499999864,3.181349749999989,4.833654499999977,6.0904358749999705,7.440832249999968,10.873382249999972,11.684712249999944,14.65165244499996,20.100970985299934,27.972909515774948,38.58291563682494,48.53781724999989,59.465808249999945,67.29046199999992,76.98273499999999,91.38154768429996,106.44875617815,118.80414391897506,133.99093824215015,151.64303787500006,174.598629934325,192.2653406843251,213.27878768432504,243.61743500000009,272.98258819999995,303.67629053039974,338.1390307445003,364.949808175,403.345688375,R,5,1,LH,LH-R,hetero-high
