,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180,186,label,condition,side,condition-side,uniq-condition
p21.rsml,28.74765456393046,38.50953962323927,40.649005837537445,42.931118880594596,45.9856841715442,50.303593508537496,55.344867148977634,59.863701200562325,65.32849553561843,71.40989381192858,77.5971067948801,82.5952775099493,88.24044186905093,92.27543887817966,97.64186566070681,101.83608690670195,106.7173270517346,111.09545888320505,116.1815738783254,119.70095648352996,122.63949996069759,126.19442996709465,129.1238729635619,131.87577674877943,134.1443599213871,135.76643982287828,137.91925574092858,139.97042205423523,141.82972734946443,143.64207535681558,145.64893452409353,147.0000559868656,1,LH,L,LH-L,hetero-low
p23.rsml,15.251362137112679,17.05598970230979,18.960685514853058,20.290087715637235,21.395255509356367,23.26102300467754,25.4022303336984,27.87829947040734,30.22606003556414,32.76733611852066,35.35028581433038,37.73163361060401,40.03394854849121,43.788319035158565,47.45044961744738,49.811073734742564,53.91137323879964,57.410039064330036,61.28430998039761,64.55006738585612,68.0063085228763,71.95440692287718,75.60147495517863,78.74836728593971,82.67809129306471,86.5310292035413,89.62066127331431,92.17678491739352,95.60675740891085,99.46475173633281,102.94460045548115,105.9489411465913,0,LL,L,LL-L,homo-low
p24.rsml,16.861313907786432,17.851531010346985,19.56056231491692,21.444714946551795,23.74284383094833,26.47742325099467,29.24326346547748,32.05893160924985,36.20570482080797,40.521557478412454,45.99811892845601,51.378676034763174,58.616290753573914,66.04540122136548,73.52830210481522,80.19258601329908,90.19664767636456,101.67233392064357,111.91226446049143,122.46125971601325,136.88374754715443,152.7050679221667,168.29482359263108,182.1861713534829,202.81398975196137,222.76960811644778,243.76677009465,263.8888505939696,291.9430555169999,313.49225925770696,335.3684945217124,356.34048007981136,2,HL,L,HL-L,hetero-high
p25.rsml,24.42550477950868,27.793563355992433,29.6422406375784,31.385335750655834,34.10631411183979,37.145010635804056,40.7745142834645,44.00117186434675,49.29895629566981,55.71383932030241,60.91754259026512,65.45568753491033,71.38473410039146,79.8906960450784,86.70387438776542,92.54393921527911,100.71367616870204,109.64197261439838,116.7562749761448,122.60327445390627,131.01421017069953,138.6109796996664,146.97398765663561,153.43775130932474,163.105269335405,172.55642481482477,180.18181243033237,186.00593485380182,194.69078204396234,204.04207036708243,212.65008792638335,222.09989871280683,3,HH,L,HH-L,homo-high
p26.rsml,4.557216387580522,5.600976496802372,6.159590853939745,6.48531619836354,6.801316198363542,7.359930555500912,7.918544912638286,8.313544912638285,9.028920338551142,10.03940668911215,10.69085737795974,11.681833673839826,12.506617888043756,13.256077693503665,14.387185557502498,15.062161853382582,15.699080215498165,16.807898054460004,17.834898054460005,18.084717989613306,19.2630053274772,20.492262689983516,21.598262689983514,22.404939791506827,23.321523487603194,24.996446894981787,26.664811903468937,27.878987936740327,28.953592086097558,30.899813009213624,32.86580366468641,34.59892704967852,0,LL,L,LL-L,homo-low
p27.rsml,18.63773529322556,19.743735293225562,21.389181036080505,22.272427887192922,23.467914817276228,24.415914817276228,25.52473265623807,27.000185564137094,28.896185564137095,30.336375272326954,32.288236708040685,34.347331821118125,36.49149549676443,38.94110596349652,40.87180260208955,43.37576273340277,45.75440344023477,48.237286842837676,50.715762718643745,53.52626148391898,55.98178380422717,58.86701635196693,61.68883040650916,64.27813178634125,67.20294400996902,70.73155481666579,73.60712006094549,77.11288317468792,81.60058279764539,85.84740760562961,90.16631088855316,94.48423478523623,1,LH,L,LH-L,hetero-low
p28.rsml,1.365262374241725,2.425158595576621,3.485054816911523,4.409726109858372,5.469622331193275,6.800656716137232,8.137330839616498,9.5849707099231,11.22064200286995,12.408272416761411,14.257011002589731,15.581292317114702,17.22214835664196,19.141615981363444,20.835312619956486,22.378712599484942,24.515996776870644,26.600424796634265,28.71445539370718,30.306761444943735,32.97019236612947,35.590257707292274,38.056062363226,40.80664487483015,43.92352713001045,48.1826132792603,51.74070891988186,55.44290720131852,60.97644843267555,67.50178218285362,72.97166420341709,78.6014926263436,3,HH,L,HH-L,homo-high
p29.rsml,12.642353095995919,13.510668826451894,14.221668826451896,14.748664556984883,15.798205647176214,16.39594911221786,16.89558898252447,17.478799493403688,18.044353425403102,18.609907357402523,19.330714717242863,19.811252957136418,20.48391371859051,20.99893070860152,21.474573694463814,21.827872434908784,22.230694976482617,22.549154157540404,22.82846133610909,23.186149049065524,23.699649049065524,24.249820386014292,25.14060503291275,26.257390426402257,27.39038188746823,28.550576345616026,29.900187240051903,30.964001489224923,32.37856940854225,33.676718955898664,35.13974696939224,36.40192262654621,0,LL,L,LL-L,homo-low
p31.rsml,15.470429390417705,17.45698013842534,19.09006073235732,20.19148127415889,22.0563480156234,24.329165596467252,26.70468113792267,28.981175880590612,32.17087589620258,35.251747225645865,39.20397067957085,42.16368181362489,46.07504936499601,49.75990092798584,54.677652785947295,58.86193348120193,64.1766085037224,69.77086737283128,76.43192769763262,81.00431108169953,88.82106356610902,97.0716187509875,105.49705158713901,112.39448457357744,122.11051409863532,132.53518342019743,143.85401651050506,153.42332010600828,166.6412494561501,180.94957199915072,193.2005933138132,203.67980312365182,3,HH,L,HH-L,homo-high
p32.rsml,16.004569743121877,21.775364686330594,23.792681658160507,24.936284564733608,26.635829977734915,28.17163342341139,30.535067221432413,32.04916609323995,33.610824579154894,36.26959889347553,39.0703710306408,41.08904383652958,43.71476571328728,46.47008482353777,49.26143235775526,51.239646860267776,53.16406304161605,56.16673091199024,59.50908476108835,61.669948382869656,64.07537901467397,66.46672377890332,68.82368296916712,70.65148077801042,73.1976947612292,75.90757251635658,78.68173503859782,81.20335598563155,83.95552603028986,87.2763445797067,90.55042651450191,93.13892118366698,0,LL,L,LL-L,homo-low
