,0,6,12,18,24,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174,180,186,label,condition,side,condition-side,uniq-condition
p34.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016633197132939626,0.005077142278635477,0.01466493728673799,0.03913408298754705,0.07391352214202779,0.11627677390732567,0.15210364508586954,0.21093631442802566,0.28384776765448416,0.35340041226596874,0.4107539399947602,0.49640128765320884,0.6049844657439303,0.6987159664497287,0.7617547844512617,0.9075176284865192,1.048079602060978,1.2180366745246,1.390229162177261,3,HH,L,HH-L,homo-high
p37.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004477280506952421,0.021430260375503243,0.05346843975979459,0.07506101886937276,0.11243153408983592,0.15004035625549247,0.2091940764486519,0.26083162413352157,0.3178087897666875,0.37160127643049257,0.4393858322826581,0.5088908172956936,0.5676333066647029,3,HH,L,HH-L,homo-high
p39.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015489809650106562,0.004897801645991955,0.011297396622210125,0.018357832168541508,0.023303969802719655,0.031372261075478275,0.047812383976847415,0.06349269642205191,0.08501956532112007,0.10341781207762685,0.12559236660538323,0.1600814898993743,0.19626534730989145,0.23009802108797936,1,LH,L,LH-L,hetero-low
p44.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01500481796965657,0.02787462202310565,0.03981134565448102,0.09527530710223951,0.13501869413705017,0.16439593726933618,0.1917949943990532,0.21980634121433013,0.24560311922533817,0.26859612705410724,0.28937192779195914,0.3206868286607058,0.37445632317428756,0.4410085632841739,0.47309857298874364,0,LL,L,LL-L,homo-low
p45.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,HL,L,HL-L,hetero-high
p46.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063691815830641575,0.0059293839341465655,0.005519928733142687,0.004922824490960489,0.007329248400566242,0.010248784838383452,0.016078982493127003,0.034208220632105615,0.057465352056640176,0.08833389464377871,0.1098224853114194,0.14224660198737687,0.17157427071432219,0.20858624884808835,0.22929103591805663,0.27364068071985864,0.3211541677212003,0.36265523160575613,0.39682159174419956,0.4497520554862262,0.5318048252906077,0.6117500129757789,0.6912656943545046,3,HH,L,HH-L,homo-high
p47.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,LL,L,LL-L,homo-low
p48.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01263937281704084,0.031624345958873736,0.03394334099670975,0.035612971977004845,0.05219962037443492,0.07700205602034328,0.09335995931545416,0.11922633169511536,0.1297745247456788,0.14778820479732804,0.16874511162692413,0.18425638545442416,0.19344897244521692,1,LH,L,LH-L,hetero-low
p49.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014647566650543325,0.014851670332864912,0.031142566318085756,0.050118674960482903,0.07121132236576706,0.0977014699054899,0.1243241257671084,0.17140807488838816,0.21165702062836725,0.26852230422833057,0.31387383209146874,0.3784070515126423,0.4655378716131767,0.5409970182011868,3,HH,L,HH-L,homo-high
p50.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004618158634881275,0.027341183318125118,0.040661916658683794,0.06103834369602413,0.07884525055848031,0.10013726146610685,0.12357881790800121,0.1449642792541484,0.15635919973116666,0.17638112687435586,0.1893605160928313,0.21995721638023216,0.2482657053965888,0.27748347170197013,0.3003443425901339,0.3211765756498152,0.3499412850591233,0,LL,L,LL-L,homo-low
