,hard_latency,mean_growth,A,Ti,kg,max_growth,appiration,depth,stage,side,uniq-condition,genotype
3986,-19.0483,0.1692134478659857,8.71243719592364,17.77741964606361,0.0686144027129017,0.2199178422609889,43.0483,6.346573673776301,1,R,HH,quad
3987,-13.050999999999998,0.1111499086678595,8.316473436623822,21.639702543437878,0.0622888149776825,0.1905701129799086,31.051,7.159442078478136,1,R,HH,quad
3988,-13.050999999999998,0.1464202529468026,10.87734924986628,21.81112251972931,0.0705571285972954,0.2823381011436849,31.051,8.403434338571666,1,R,HH,quad
3989,-19.0483,0.0780081476773301,5.122926539665347,18.04384290100453,0.0790817961337605,0.1490390834300314,43.0483,10.63334040853897,1,R,HH,quad
3990,-13.050999999999998,0.1372123279136816,9.721292105517575,19.9739741774981,0.0825222827153261,0.2951214282091413,31.051,11.73819314712102,1,R,HH,quad
3991,-19.0483,0.1164875341009173,7.8262705130868655,20.918847592791803,0.0749639455083426,0.2158304963577591,43.0483,13.787483213858996,1,R,HH,quad
3992,-19.0483,0.1545239134143826,10.90539332598061,23.92836310785402,0.0604902532409149,0.2426790324218547,43.0483,14.953369057327388,1,R,HH,quad
3993,-19.0483,0.1215810436145466,8.390085732590505,23.65823080852289,0.0683991246448883,0.2111166376483038,43.0483,16.490218578262994,1,R,HH,quad
3994,-25.05,0.1459157160270063,9.755417843938265,24.99940582400382,0.0598890794415202,0.2149309862296513,55.05,19.45655469840001,2,R,HH,quad
3995,-25.05,0.1356693678841997,9.36097712227115,29.11580193948446,0.0641495650873617,0.2209125650252584,55.05,21.34117730301809,2,R,HH,quad
3996,-37.05,0.091560751034322,4.763000048965818,21.17488107532119,0.0935477384139601,0.1639152636718759,79.05,25.12060928693785,2,R,HH,quad
3997,-37.05,0.0724385291005983,3.744368643815815,20.69305266070257,0.0951780283174867,0.1311054729796868,79.05,26.862372077331536,2,R,HH,quad
3998,-43.0492,0.1363369743109256,6.238501816971477,17.6450225736112,0.0902866362628096,0.2072093255661724,91.0492,28.863754918464075,2,R,HH,quad
3999,-55.0493,0.0937168259687604,3.258005892347042,15.199313146711882,0.1285182763600385,0.154036015423998,115.0493,32.048601245217824,2,R,HH,quad
4000,-49.0506,0.1127814069701083,4.586146388654742,15.993925503300126,0.1091158763384322,0.1840947384392737,103.0506,34.64842910590951,2,R,HH,quad
4001,-49.0506,0.1420413518580724,5.9013090175998615,16.873223094360295,0.1035707018431354,0.2248489138790011,103.0506,36.20159514543676,2,R,HH,quad
4002,-61.047700000000006,0.0722085242562544,2.3108563656306758,12.219070017345771,0.107154478377319,0.0910937953054094,127.0477,38.64395680637092,2,R,HH,quad
