filename,condition,side,condition-side,P0_length,P1_length,P2_length,P01_length,P12_length,Ptotal_length,uniq-condition
p88.rsml,HH,R,HH-R,3.927484950972179,17.775016327698555,0.0,21.702501278670734,17.775016327698555,21.702501278670734,homo-high
p89.rsml,HL,L,HL-L,4.1550100151109355,19.44647132022001,0.0,23.601481335330945,19.44647132022001,23.601481335330945,hetero-high
p89.rsml,HL,R,HL-R,0.0,25.816873913088113,0.0,25.816873913088113,25.816873913088113,25.816873913088113,hetero-low
p92.rsml,MM,L,MM-L,9.089330263126776,22.676754161612546,0.0,31.766084424739322,22.676754161612546,31.766084424739322,homo-medium
p92.rsml,MM,R,MM-R,4.082745694024453,25.9567847671002,0.0,30.039530461124652,25.9567847671002,30.039530461124652,homo-medium
p93.rsml,ML,L,ML-L,0.0,18.774080654339002,0.0,18.774080654339002,18.774080654339002,18.774080654339002,hetero-medium
p93.rsml,ML,R,ML-R,0.0,21.571841794858475,0.0,21.571841794858475,21.571841794858475,21.571841794858475,hetero-low(medium)
p96.rsml,MM,L,MM-L,0.0,24.468821520552908,0.0,24.468821520552908,24.468821520552908,24.468821520552908,homo-medium
p96.rsml,MM,R,MM-R,7.997231778785582,19.240377489107136,0.0,27.23760926789272,19.240377489107136,27.23760926789272,homo-medium
p97.rsml,ML,L,ML-L,5.478750750869667,17.304219351273176,0.0,22.78297010214284,17.304219351273176,22.78297010214284,hetero-medium
p97.rsml,ML,R,ML-R,0.0,20.82441470904246,0.0,20.82441470904246,20.82441470904246,20.82441470904246,hetero-low(medium)
p100.rsml,MM,L,MM-L,0.0,17.700536222637478,0.0,17.700536222637478,17.700536222637478,17.700536222637478,homo-medium
p100.rsml,MM,R,MM-R,4.2974914229249634,17.465494899192382,0.0,21.762986322117346,17.465494899192382,21.762986322117346,homo-medium
p101.rsml,ML,L,ML-L,13.602588208942176,9.785628334817595,0.0,23.38821654375977,9.785628334817595,23.38821654375977,hetero-medium
p101.rsml,ML,R,ML-R,22.795714491344583,0.670337228564847,0.0,23.46605171990943,0.670337228564847,23.46605171990943,hetero-low(medium)
p104.rsml,MM,L,MM-L,11.463115454624026,8.50190250219059,0.0,19.965017956814616,8.50190250219059,19.965017956814616,homo-medium
p104.rsml,MM,R,MM-R,0.0,14.757559098669015,0.0,14.757559098669015,14.757559098669015,14.757559098669015,homo-medium
p105.rsml,ML,L,ML-L,8.841750361134395,19.96534294279686,0.0,28.807093303931254,19.96534294279686,28.807093303931254,hetero-medium
p105.rsml,ML,R,ML-R,0.0,13.55829181648119,0.0,13.55829181648119,13.55829181648119,13.55829181648119,hetero-low(medium)
p108.rsml,MM,L,MM-L,0.0,14.417142303396526,0.0,14.417142303396526,14.417142303396526,14.417142303396526,homo-medium
p108.rsml,MM,R,MM-R,0.0,18.817361617212416,0.0,18.817361617212416,18.817361617212416,18.817361617212416,homo-medium
p109.rsml,ML,L,ML-L,2.9006927946013583,20.786291922928942,0.0,23.6869847175303,20.786291922928942,23.6869847175303,hetero-medium
p109.rsml,ML,R,ML-R,0.0,20.206724886153832,0.0,20.206724886153832,20.206724886153832,20.206724886153832,hetero-low(medium)
p112.rsml,MM,L,MM-L,4.995107119947795,18.600514506819437,0.0,23.59562162676723,18.600514506819437,23.59562162676723,homo-medium
p112.rsml,MM,R,MM-R,3.1294035813707226,16.54662465565708,0.0,19.676028237027804,16.54662465565708,19.676028237027804,homo-medium
p113.rsml,LM,L,LM-L,6.748384574825802,15.879644111144856,0.0,22.62802868597066,15.879644111144856,22.62802868597066,hetero-low(medium)
p113.rsml,LM,R,LM-R,0.0,13.852401940469589,0.0,13.852401940469589,13.852401940469589,13.852401940469589,hetero-medium
p116.rsml,MM,L,MM-L,2.843088791059819,15.853247190332047,0.0,18.696335981391865,15.853247190332047,18.696335981391865,homo-medium
p116.rsml,MM,R,MM-R,0.0,21.204491461535124,0.0,21.204491461535124,21.204491461535124,21.204491461535124,homo-medium
p120.rsml,MM,L,MM-L,4.558035429025978,20.561914323473744,0.0,25.11994975249972,20.561914323473744,25.11994975249972,homo-medium
p120.rsml,MM,R,MM-R,1.9761771165893638,17.843494579331953,0.0,19.819671695921315,17.843494579331953,19.819671695921315,homo-medium
p124.rsml,LM,L,LM-L,1.4694849437813224,19.009282259740164,0.0,20.478767203521485,19.009282259740164,20.478767203521485,hetero-low(medium)
p124.rsml,LM,R,LM-R,1.1536434674543077,15.053247063721733,0.0,16.20689053117604,15.053247063721733,16.20689053117604,hetero-medium
p127.rsml,MM,L,MM-L,4.564287468357309,21.072609219702144,0.0,25.636896688059455,21.072609219702144,25.636896688059455,homo-medium
p127.rsml,MM,R,MM-R,0.0,20.08992080023476,0.0,20.08992080023476,20.08992080023476,20.08992080023476,homo-medium
p128.rsml,LM,L,LM-L,3.377990591648066,21.513381627550267,0.0,24.891372219198335,21.513381627550267,24.891372219198335,hetero-low(medium)
p128.rsml,LM,R,LM-R,4.195877799674765,18.141553114381736,0.0,22.3374309140565,18.141553114381736,22.3374309140565,hetero-medium
p131.rsml,MM,L,MM-L,0.0,20.757776223046307,0.0,20.757776223046307,20.757776223046307,20.757776223046307,homo-medium
p131.rsml,MM,R,MM-R,5.943183957692847,11.9160122150015,0.0,17.859196172694347,11.9160122150015,17.859196172694347,homo-medium
p132.rsml,LM,L,LM-L,0.0,17.891512991495567,0.0,17.891512991495567,17.891512991495567,17.891512991495567,hetero-low(medium)
p132.rsml,LM,R,LM-R,0.0,15.509226696408964,0.0,15.509226696408964,15.509226696408964,15.509226696408964,hetero-medium
