,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,side,alpha,label,condition,condition-side,uniq-condition
p31.rsml,3.3490766250000137,7.603098249999988,26.26056775000001,49.56446175,54.8911552499999,80.80534750000007,135.33452474999996,214.90571450000007,282.404469875,327.3318686249998,367.1985965000001,392.333443875,433.563050125,493.457927125,541.7461043750001,568.6268715000003,L,50,3,HH,HH-L,homo-high
p31.rsml,2.505761500000004,7.343316624999982,9.349798124999984,27.8301792499999,39.496948624999945,49.80083962499998,96.697273875,124.5578779999999,150.69518600000018,172.81719062500025,188.9119495,202.45413937500015,228.4767690000001,275.67979237500003,328.53560149999987,347.0963354999999,R,50,3,HH,HH-R,homo-high
p32.rsml,5.877461749999993,14.983080749999974,23.26722812499994,26.28787212499997,38.56625949999997,48.735188875000055,73.32225619080003,126.93257849999996,171.32481150000015,207.10680487500008,260.79656762500014,287.8661250000001,328.75871725000025,414.33998999999966,449.73426125,463.475383,L,50,0,LL,LL-L,homo-low
p32.rsml,8.525206000000122,14.507204500000114,36.61594699999996,47.94024149999993,68.0549845,134.4030555000001,196.51426762500023,237.85231125000024,342.6199782499999,367.88978725,382.8666269999999,416.1881061250001,460.6466497500006,483.70423894040033,522.0183033750002,548.6252466250003,R,50,0,LL,LL-R,homo-low
p33.rsml,15.687533624999997,18.196415624999997,22.549513124999987,41.58066250000008,69.81806700000001,89.84543600000009,117.60072325,192.159609875,227.62253212500016,328.8459764156001,372.29881175522496,389.9532824999999,446.0817159999999,538.0810771249999,607.8273726249995,644.4979283749991,L,50,1,LH,LH-L,hetero-low
p33.rsml,7.982238999999958,21.579817749999957,29.040933250000045,81.14704224999988,101.38036425000011,170.71475375000006,221.37139050000025,275.68759362500015,293.6780562500004,317.55924275,344.20207175000013,387.3695085,442.01726475,518.9508518749999,522.0814935000001,575.0293573750002,R,50,1,LH,LH-R,hetero-high
p37.rsml,3.9997008750000633,8.852858500000082,11.559112125000084,30.79153375000002,37.551316875000055,75.03710324999989,109.7011775,148.72849087499992,204.45516000000023,268.3840633750003,334.680646125,392.4801073750001,423.9659523749996,461.7044992499997,520.0679908750001,558.4938278750001,L,50,3,HH,HH-L,homo-high
p37.rsml,5.5981770000000255,23.32417724999997,84.52810399999997,140.37101175000004,163.79504500000002,273.399487,307.4004550000001,322.5660849999998,321.15873950000014,425.5472657500003,505.3930595000005,567.6797997499998,658.842866875,691.7266958750005,723.2562278749998,761.4043403749998,R,50,3,HH,HH-R,homo-high
p38.rsml,5.985119000000024,6.091216000000022,6.549929500000024,8.160107500000048,9.233559500000029,16.597939500000003,24.934355250000024,36.59254325000001,61.24449324999991,90.21521524999991,126.77655349999998,183.67887099999996,224.64323475,241.17252324999984,254.6452819999999,251.552086375,L,50,0,LL,LL-L,homo-low
p38.rsml,6.858858999999937,16.076815999999955,39.02185249999997,53.204524999999975,75.82814999999994,65.10299150000007,75.35102648615009,89.28062550000007,118.89417050000009,172.23131674999996,211.31089850000015,233.89551725000007,255.03066374999992,298.7067419999996,319.2887798750002,329.59189075000023,R,50,0,LL,LL-R,homo-low
