,0,8,20,32,44,56,68,80,92,104,116,128,140,152,164,168,side,alpha,label,condition,condition-side,uniq-condition
p20.rsml,3.3888630000000037,13.070214250000015,24.676914,50.060621250000025,60.18664375000003,124.10540550000016,142.20508562499992,205.60818475,223.56198149999997,247.05934649999995,273.9908217500001,325.7021874999997,369.3657837499998,402.67946162499976,447.17779162499954,461.6108842499996,R,20,3,HH,HH-R,homo-high
p21.rsml,4.637062999999971,13.771546624999996,17.36090175,23.792252249999983,31.08330049999997,42.369368875,57.14961712499996,83.84003375000003,93.284227,100.44421425000002,107.45753800000004,117.21456137500005,137.30824100000004,146.80860324999992,162.75201787499995,175.09359537499998,L,20,1,LH,LH-L,hetero-low
p21.rsml,2.1328617499999485,4.955353999999948,11.324294499999947,13.259784624999952,15.458176874999918,29.418513749999946,45.24022887499992,69.31176587499999,107.0900991249999,179.00904274999985,211.29607612499984,228.37769312499995,227.9314616250001,255.79518624999983,291.62476725,303.0770022500001,R,20,1,LH,LH-R,hetero-high
p23.rsml,3.1735485000000105,4.396784500000009,29.176675000000024,40.42763775000007,50.275155625000025,68.13845787499999,90.89704449999996,158.66260262500006,186.11832187500005,231.73067037500016,277.77520812500006,302.3811307500002,331.0444835000001,359.22103824999994,395.60450800000007,412.50045525,L,20,2,HL,HL-L,hetero-high
p23.rsml,4.186930875000018,8.047769499999992,9.645465500000014,21.038411000000032,42.18447925000007,58.95248600000005,70.23933450000013,94.94433300000004,97.3471180000001,105.5821174999999,107.9536975,119.7803924999999,131.33248350000014,140.46930750000013,142.1200520000002,142.60685000000012,R,20,2,HL,HL-R,hetero-low
p47.rsml,5.350877374999987,8.09379687499999,11.395285874999963,19.55695362499998,45.47270612500006,59.73417124999997,65.96580975,76.72763412500004,89.34693612500013,104.87220375000004,144.96672812500017,186.55129125,225.343787,271.5482503750003,311.7184468750001,336.3103272500002,L,20,3,HH,HH-L,homo-high
p47.rsml,9.851418499999996,14.543090250000004,17.847699749999983,27.720961750000008,37.26423087500002,60.577486375000085,92.17410912500002,126.705562125,139.65485700000016,193.81581525,217.4099157500002,249.25539837500003,310.426559875,324.2729985000002,348.0675911250001,359.5120248750002,R,20,3,HH,HH-R,homo-high
p48.rsml,2.058749875000013,7.148285375000022,11.310252250000032,15.391866250000051,21.78265025000008,29.31241674999999,40.485367000000046,49.61829037500003,53.08048512500008,66.41204125000007,73.69060750000001,80.3255706250001,86.46749475000003,92.35431800000006,96.162108125,99.41444924999996,L,20,1,LH,LH-L,hetero-low
p48.rsml,4.335934750000005,6.665387999999998,20.769267874999983,29.40603175,37.55989825000002,51.88611374999992,88.33823450000001,126.48322650000011,159.18528637499992,175.46727525000006,220.5764431250002,290.3672057499999,312.159997625,360.2703063749999,415.0311807499998,417.3286488749997,R,20,1,LH,LH-R,hetero-high
p49.rsml,9.38802425000001,16.050291750000014,24.31337575000001,48.721146625000046,53.91989962499997,61.502714624999925,65.60461187499992,69.88983850000002,71.74575587500001,74.43172625000001,83.15820449999995,104.64362712499997,128.07000075000008,144.34964925000014,180.70347425,193.5318497500001,L,20,3,HH,HH-L,homo-high
p49.rsml,4.440471500000033,8.815412500000008,15.17031075,24.992084500000068,28.84122124999995,31.29705474999995,38.55845824999996,42.74460899999995,46.59530600000002,52.22468800000002,66.36055299999998,78.7208535,82.54346599999988,105.71629900000008,122.10516500000008,130.99859000000004,R,20,3,HH,HH-R,homo-high
p50.rsml,5.4569743750000095,21.217059625000022,42.39433287499993,65.21376925000001,93.53932787499993,122.97578449999996,153.2266916249999,213.37822975,249.219512625,279.8558015,341.7891451249998,374.4311353750001,402.9049177499999,448.8574007500004,484.3312447500004,500.3097650000002,L,20,2,HL,HL-L,hetero-high
p50.rsml,14.17799175,21.80917200360005,25.59589875359998,27.80755312860001,31.648888628599963,75.48723287859983,93.58613287859988,99.1000563785999,136.38535062859995,140.16115562859994,145.99571050359987,155.48905412499985,162.03430287500004,165.8514545,170.39880312499986,171.8155101249999,R,20,2,HL,HL-R,hetero-low
p51.rsml,5.847817000000015,10.321053750000017,17.041050500000043,23.824237374999985,33.58282099999998,46.23020750000001,59.22709000000004,71.29484362499994,94.76022349999997,122.20580112499992,152.6618811249999,175.46025412499978,206.52795212500013,222.7233471249999,243.950548375,253.49069700000004,L,20,3,HH,HH-L,homo-high
p51.rsml,3.7734646250000097,5.898525125000001,9.545609500000024,13.558572500000045,15.348959375000009,21.85598199999997,54.625912749999934,71.69036699999984,80.5252826249999,104.31441437500004,121.67765649999996,156.99079475000005,184.50346312500008,225.9834895,264.97569724999966,277.5263482499998,R,20,3,HH,HH-R,homo-high
