,root_idx,0,7,19,31,43,55,67,79,91,104,115,127,139,151,163,168,side,label,condition,condition-side,uniq-condition
10,p17.rsml,25.801438361502687,27.951151556423735,31.527045009463798,34.47343587237994,38.24372606064754,43.030548023019,47.39163863314779,51.92568477728968,55.93804691118082,60.50590709349706,64.42827933514702,68.54718696934687,72.53301097108934,76.81545004966979,80.61074028890052,82.74501532522557,L,0,LL,LL-L,homo-low
11,p17.rsml,22.889109677128275,25.249866045517486,27.960085626417637,31.314122153272283,35.532817939867286,40.70897381305631,45.79511612069135,49.948418892363804,54.32661993979692,59.34658411325043,64.15423021473435,69.43368148126024,73.69248480385532,77.55956900374515,78.17277390424742,79.99149048469639,R,0,LL,LL-R,homo-low
12,p22.rsml,24.30184644934504,27.588901552320955,32.31368714302829,38.16294342646005,44.52927805355841,51.99346532096754,58.53086416959325,66.80342835814083,74.30905952905883,82.74401082250778,85.25451502175747,85.25451502175747,85.25451502175747,85.25451502175747,85.25451502175747,85.25451502175747,L,3,HH,HH-L,homo-high
13,p22.rsml,25.209564647565134,28.118650000374583,32.68626081636245,37.778181535895314,44.15324454081533,50.77629790772881,58.01781335155149,65.25933522782441,73.13500937576634,81.98536573064625,85.87981222357188,85.87981222357188,85.87981222357188,85.87981222357188,85.87981222357188,85.87981222357188,R,3,HH,HH-R,homo-high
14,p23.rsml,14.217817411611502,15.271808872677484,18.14529067000397,22.175420382955576,27.241210268747505,32.34910058229276,36.9473090635538,40.34420721854428,43.58035190676275,47.637017385995506,50.71923721052735,55.34387445970981,59.47287097597245,63.23757681979612,67.62128586428604,69.32403720130495,L,0,LL,LL-L,homo-low
15,p23.rsml,20.660941366695777,22.01089395845595,23.669893958455948,28.031642871747948,32.88663278948402,36.95490982678108,39.35560937213495,43.786513646632024,46.26903459095514,50.10037859555485,53.274265903392994,56.771481189449915,60.65306444522862,63.98740537430364,66.75951649022751,68.29323936165498,R,0,LL,LL-R,homo-low
16,p29.rsml,16.341725576110875,17.77737534189639,19.28666822268527,22.49614956707723,25.4480974409395,28.616972477920292,30.11224444314936,32.324244443149354,35.033668044212874,38.617240611288,41.99014565547536,45.90263750063603,49.19822549824738,53.27893527185153,57.259556149667944,58.811659883314626,L,0,LL,LL-L,homo-low
17,p29.rsml,17.33114030769372,18.353160474656775,19.45070843894696,21.731277457811906,24.14648466247234,24.721613343725497,27.344837577084927,29.187549778695878,30.872189649002483,32.726488389447454,34.89263508542265,37.65763508542265,40.10790894766744,43.3478722190642,45.906300238827825,47.27494010913443,R,0,LL,LL-R,homo-low
18,p30.rsml,26.030293078591846,26.9552411892593,29.79483867014923,34.62116936991759,39.311552256684244,45.767871879400566,51.39280149807375,57.72393570416774,63.563170151167974,72.17059283869156,77.65030474457265,82.96533788925177,83.14198725947426,83.14198725947426,83.197848695188,83.316348695188,L,2,HL,HL-L,hetero-high
19,p30.rsml,33.14579301405107,36.0517593524239,38.25242719408297,42.75594279451754,47.21535061136038,53.048692413937346,59.36981519707723,66.30398030928663,72.85983657430378,81.34593622047572,86.77767335748665,86.83353479320039,86.83353479320039,86.83353479320039,86.87303479320039,86.87303479320039,R,2,HL,HL-R,hetero-low
20,p34.rsml,12.074882700773141,14.051462069278237,16.51911143950072,20.58400900272266,24.327123308166904,29.46247205050787,35.11320885647198,41.21716011912726,47.03738132065319,54.18112922010615,59.71854676799143,66.51108775892716,72.54033793876941,79.8775828247956,85.97229393020123,86.0840168016287,L,3,HH,HH-L,homo-high
21,p34.rsml,13.673527313919996,15.426424758718094,17.5617313761724,21.005335121192918,25.122434274644522,29.696881061198503,35.08117778422821,41.447605583905364,46.61946737723904,53.97071250738459,56.84648212866883,66.06903429713066,71.01663596359492,79.94678142713582,87.02621293679815,87.10521293679815,R,3,HH,HH-R,homo-high
22,p35.rsml,13.409571138666184,15.143992575948301,17.58104455174578,19.425318121474522,23.363007182433805,27.553418573595934,31.59758897981087,36.5379309696423,41.22649783993603,48.21408286525332,52.99645873762149,59.87016070413951,65.25113523474523,72.0710700670981,77.5497673654998,77.66149023692728,L,0,LL,LL-L,homo-low
23,p35.rsml,14.368288834291398,15.692570148816376,17.32040869957803,19.53038893351183,21.866915791166026,24.130195531779236,26.801908060975332,29.957463856820844,32.844440152700926,37.19591254391184,40.23080876524674,44.83756143220129,48.91200407189,53.75039508546131,58.243882761155135,60.22046212966023,R,0,LL,LL-R,homo-low
24,p44.rsml,10.064960262266677,12.303063692785612,13.890944040922712,16.300995319480563,19.758481952032348,24.4383048959455,28.1834299848339,32.42205829057664,36.68493712573359,42.144319250143894,46.012884602388354,51.25645484506441,55.799801626719535,60.281310099220505,63.79534483755325,65.7590988990994,L,0,LL,LL-L,homo-low
25,p44.rsml,16.09269858816325,18.034711516641927,19.76856137161533,21.498199287275398,24.688026395063524,28.887194097897275,33.30472365305829,35.85746119049708,37.74653970915237,38.54636350356584,39.34520156600403,40.45190669836766,41.834970868968576,44.12733253327898,46.14183253327898,47.0250793843914,R,0,LL,LL-R,homo-low
26,p45.rsml,20.543262603429444,22.958705243118157,27.10287995940943,31.77155249586243,37.002054260816166,43.35282146975101,49.03871500924572,55.928715214567696,62.72856034587834,70.75906576910582,76.81087661603296,84.31831596982983,87.40026733872261,87.59776733872262,87.79526733872262,87.79526733872262,L,2,HL,HL-L,hetero-high
27,p45.rsml,23.569586169732048,25.78571272510245,28.71325763772029,32.03425998102716,35.76688806280117,39.86623827053347,44.6328907949348,50.15087323869741,55.433306950902434,62.03140753811892,64.64587789557184,65.52292022636324,66.03642022636323,66.66842022636324,67.40634112320788,68.04448315285332,R,2,HL,HL-R,hetero-low
28,p49.rsml,28.498979396906417,31.45667603549945,34.85459451598129,40.6298712324156,45.59093734168437,51.90033513428658,58.61777200017506,65.43444878904207,72.4260966549675,82.242740474454,89.05054066340685,90.88842332768226,90.91476192768226,90.94109262768227,90.96742332768227,90.96742332768227,L,3,HH,HH-L,homo-high
29,p49.rsml,22.76373889418011,25.078662103531343,28.720431111904645,33.711068359243335,39.10714956363759,45.195698940533326,50.809759270695594,53.911201072503275,61.6173463637627,71.69480200742593,79.41712777431766,84.73893742893705,84.73893742893705,84.73893742893705,84.73893742893705,84.73893742893705,R,3,HH,HH-R,homo-high
