,0,6,12,21,24,30,45,46,53,69,70,77,83,93,100,118,147,148,153,159,165,172,label,condition,side,condition-side,uniq-condition
p68.rsml,0.0,1.0,2.0,3.0,4.0,5.0,5.0,6.0,6.0,10.0,10.0,12.0,14.0,15.0,16.0,25.0,27.0,27.0,28.0,30.0,32.0,32.0,3,HH,L,HH-L,homo-high
p69.rsml,0.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,8.0,9.0,9.0,12.0,12.0,14.0,23.0,27.0,27.0,27.0,29.0,31.0,31.0,2,HL,L,HL-L,hetero-high
p72.rsml,0.0,0.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,7.0,8.0,9.0,10.0,11.0,14.0,18.0,22.0,22.0,22.0,23.0,24.0,25.0,3,HH,L,HH-L,homo-high
p73.rsml,0.0,0.0,0.0,0.0,1.0,4.0,4.0,7.0,7.0,11.0,11.0,13.0,15.0,17.0,22.0,28.0,34.0,34.0,35.0,35.0,37.0,37.0,2,HL,L,HL-L,hetero-high
p74.rsml,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,7.0,10.0,10.0,10.0,10.0,14.0,16.0,18.0,18.0,18.0,19.0,19.0,19.0,1,LH,L,LH-L,hetero-low
p04.rsml,0.0,0.0,1.0,2.0,3.0,3.0,6.0,6.0,6.0,7.0,8.0,8.0,11.0,13.0,16.0,21.0,21.0,21.0,23.0,23.0,27.0,27.0,3,HH,R,HH-R,homo-high
p05.rsml,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,LL,R,LL-R,homo-low
p06.rsml,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,6.0,6.0,6.0,6.0,7.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,2,HL,R,HL-R,hetero-low
p07.rsml,0.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,6.0,7.0,8.0,12.0,12.0,13.0,17.0,20.0,24.0,24.0,26.0,29.0,29.0,29.0,1,LH,R,LH-R,hetero-high
p08.rsml,0.0,1.0,2.0,2.0,2.0,3.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,14.0,17.0,20.0,20.0,22.0,23.0,24.0,24.0,3,HH,R,HH-R,homo-high
p09.rsml,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,0,LL,R,LL-R,homo-low
p10.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,5.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,2,HL,R,HL-R,hetero-low
p11.rsml,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,8.0,8.0,9.0,9.0,11.0,12.0,15.0,23.0,25.0,25.0,25.0,25.0,25.0,26.0,1,LH,R,LH-R,hetero-high
p12.rsml,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,7.0,7.0,9.0,9.0,3,HH,R,HH-R,homo-high
p13.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,0,LL,R,LL-R,homo-low
p14.rsml,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,8.0,10.0,12.0,14.0,14.0,15.0,15.0,15.0,15.0,2,HL,R,HL-R,hetero-low
p15.rsml,0.0,2.0,3.0,5.0,6.0,6.0,13.0,13.0,13.0,13.0,15.0,16.0,17.0,17.0,21.0,25.0,29.0,29.0,30.0,31.0,33.0,34.0,1,LH,R,LH-R,hetero-high
p16.rsml,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,5.0,7.0,7.0,8.0,10.0,13.0,16.0,16.0,16.0,17.0,17.0,17.0,3,HH,R,HH-R,homo-high
p17.rsml,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,0,LL,R,LL-R,homo-low
p18.rsml,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,HL,R,HL-R,hetero-low
p20.rsml,0.0,2.0,2.0,2.0,2.0,3.0,6.0,6.0,7.0,7.0,8.0,9.0,9.0,10.0,14.0,19.0,21.0,21.0,24.0,25.0,25.0,26.0,3,HH,R,HH-R,homo-high
p21.rsml,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,0,LL,R,LL-R,homo-low
p22.rsml,0.0,0.0,1.0,1.0,3.0,4.0,4.0,4.0,5.0,6.0,7.0,8.0,8.0,9.0,11.0,13.0,13.0,13.0,14.0,14.0,14.0,15.0,2,HL,R,HL-R,hetero-low
p23.rsml,0.0,0.0,1.0,1.0,3.0,3.0,6.0,6.0,7.0,7.0,9.0,9.0,10.0,11.0,15.0,21.0,25.0,25.0,27.0,29.0,32.0,32.0,1,LH,R,LH-R,hetero-high
p24.rsml,0.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,8.0,9.0,9.0,14.0,18.0,20.0,20.0,21.0,22.0,23.0,25.0,3,HH,R,HH-R,homo-high
p25.rsml,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,0,LL,R,LL-R,homo-low
